PROV_CODE,PROV_NAM_T,Province_E,REGI_NAM_T,grid_id,grid_area,TMD_Region
38,บึงกาฬ,Bueng Kan,ตะวันออกเ*,2175,6786908.81193983,ตะวันออกเฉียงเหนือ
38,บึงกาฬ,Bueng Kan,ตะวันออกเ*,2176,80308265.7090554,ตะวันออกเฉียงเหนือ
38,บึงกาฬ,Bueng Kan,ตะวันออกเ*,2212,56194120.4522853,ตะวันออกเฉียงเหนือ
38,บึงกาฬ,Bueng Kan,ตะวันออกเ*,2213,162983588.791484,ตะวันออกเฉียงเหนือ
38,บึงกาฬ,Bueng Kan,ตะวันออกเ*,2214,443642990.798155,ตะวันออกเฉียงเหนือ
38,บึงกาฬ,Bueng Kan,ตะวันออกเ*,2215,538081668.079845,ตะวันออกเฉียงเหนือ
38,บึงกาฬ,Bueng Kan,ตะวันออกเ*,2216,115312357.114596,ตะวันออกเฉียงเหนือ
38,บึงกาฬ,Bueng Kan,ตะวันออกเ*,2251,87493075.0597628,ตะวันออกเฉียงเหนือ
38,บึงกาฬ,Bueng Kan,ตะวันออกเ*,2252,546662351.618429,ตะวันออกเฉียงเหนือ
38,บึงกาฬ,Bueng Kan,ตะวันออกเ*,2253,569917645.434225,ตะวันออกเฉียงเหนือ
38,บึงกาฬ,Bueng Kan,ตะวันออกเ*,2254,507590856.904788,ตะวันออกเฉียงเหนือ
38,บึงกาฬ,Bueng Kan,ตะวันออกเ*,2255,19175040.2874182,ตะวันออกเฉียงเหนือ
38,บึงกาฬ,Bueng Kan,ตะวันออกเ*,2290,102427314.881438,ตะวันออกเฉียงเหนือ
38,บึงกาฬ,Bueng Kan,ตะวันออกเ*,2291,320636983.542596,ตะวันออกเฉียงเหนือ
38,บึงกาฬ,Bueng Kan,ตะวันออกเ*,2292,120315914.099662,ตะวันออกเฉียงเหนือ
38,บึงกาฬ,Bueng Kan,ตะวันออกเ*,2293,32690819.0732423,ตะวันออกเฉียงเหนือ
43,หนองคาย,Nong Khai,ตะวันออกเ*,2131,64779854.7715721,ตะวันออกเฉียงเหนือ
43,หนองคาย,Nong Khai,ตะวันออกเ*,2132,17825251.8469409,ตะวันออกเฉียงเหนือ
43,หนองคาย,Nong Khai,ตะวันออกเ*,2169,100993084.445534,ตะวันออกเฉียงเหนือ
