"affiliation","avg_risk","median_risk","sd_risk"
"สพป. ศรีสะเกษ เขต 1",0.69513612427608,0.6816619705183953,0.06695880746062362
"สพป.กระบี่",0.7243028810668466,0.7213424954437759,0.07599523782622825
"สพป.กรุงเทพมหานคร",0.6823002905368111,0.6823002905368111,0.08240671034820171
"สพป.กาญจนบุรี เขต 1",0.6912367022269124,0.686867288634095,0.06566218758354746
"สพป.กาญจนบุรี เขต 2",0.6553969452174467,0.6512604068792596,0.03383693204275038
"สพป.กาญจนบุรี เขต 3",0.6784540002017406,0.664581634011242,0.06329973880851057
"สพป.กาญจนบุรี เขต 4",0.6992723961515751,0.6789714528930246,0.07558089749706252
"สพป.กาฬสินธุ์ เขต 1",0.6894574904282809,0.6824185322844488,0.07387955681574207
"สพป.กาฬสินธุ์ เขต 2",0.6965617501468077,0.6898545217746377,0.06633953149821961
"สพป.กาฬสินธุ์ เขต 3",0.695820010833402,0.6754758565560056,0.07942825195649106
"สพป.กำแพงเพชร เขต 1",0.6923112851401292,0.6919529485058844,0.06669394519269062
"สพป.กำแพงเพชร เขต 2",0.6572362497653809,0.630962782118311,0.068478317584799
"สพป.ขอนแก่น เขต 1",0.6776625999427447,0.6585156167966484,0.06155585192537405
"สพป.ขอนแก่น เขต 2",0.7036488142858179,0.6753276205905415,0.09494714934625811
"สพป.ขอนแก่น เขต 3",0.6395068354119736,0.6184992345692593,0.04295679649420233
"สพป.ขอนแก่น เขต 4",0.6776295293152355,0.6708745861907253,0.05874394191186575
"สพป.ขอนแก่น เขต 5",0.7017178250481173,0.6828991032113891,0.07594772081738511
"สพป.จันทบุรี เขต 1",0.6590134206226687,0.6492341451673186,0.0567710675956029
"สพป.จันทบุรี เขต 2",0.6484853687485707,0.6350019168282092,0.04518741142337004
"สพป.ฉะเชิงเทรา เขต 1",0.6799110264994246,0.6773348986063714,0.05005364079750442
"สพป.ฉะเชิงเทรา เขต 2",0.6874340340115993,0.6728557179831806,0.06346405201306873
"สพป.ชลบุรี เขต 1",0.6460569692965272,0.632111585810327,0.03877393632880829
"สพป.ชลบุรี เขต 2",0.6378495837835064,0.632500255012196,0.03192990062006238
"สพป.ชลบุรี เขต 3",0.672929057977941,0.6631468827584612,0.05133710361983694
"สพป.ชัยนาท",0.696928413054752,0.6743677139821913,0.08542232186893606
"สพป.ชัยภูมิ เขต 1",0.7164942087719707,0.6979057323014,0.07853293460754115
"สพป.ชัยภูมิ เขต 2",0.7042523715764072,0.6812334553518111,0.08625028300196287
"สพป.ชัยภูมิ เขต 3",0.7058904104489652,0.675878962081351,0.08648986236598995
"สพป.ชุมพร เขต 1",0.6544360592547909,0.6529851626241752,0.03485182849894624
"สพป.ชุมพร เขต 2",0.6586454016599257,0.6507729173645609,0.038129894319656174
